Text,Generic Class,Original class,Source,Dialect
@Jessica_Fares ta naymo la ra2mik haddeh w sir kel yom lsoboh charbo w ta3mi w ghazi ta ysir ra2em kbir ... enno chou awlik leich baddeh,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ok ktir cool w cute chab lebes t-shirt rose bs ma tenjele2 w telbes 3laya bot rose #5afif #5afif,non-offensive,None,(Raïdy and Harmanani 2023),LB
@CaroleHarb Ma fiya tkun boring w ma3e .... p.s : khattik ktir bechi3,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Hayda y2elleh hayda li karajj jeleh bi ema w abouwa bi nos takeh lama kholsit ljalseh w sawato min hayda ???? Ken ybi3 batata ana akid,non-offensive,None,(Raïdy and Harmanani 2023),LB
Iza Liverpool shi3aron deek into kento djeje. @ManUtd @ManUtd_AR,non-offensive,None,(Raïdy and Harmanani 2023),LB
ata3et hol taba3 el thawra lle msakrin el tari2 w walad 3omro 12 eja sar yotlob menne k/d ratio taba3 cod:mw3 shou hal bahdale hay,non-offensive,None,(Raïdy and Harmanani 2023),LB
el sabeh li 3omro 12 seni tole3 azka w afham menak rouh nte7ir,non-offensive,None,(Raïdy and Harmanani 2023),LB
@VivoD3 @whos_al @alimouinjaber @rayaelhassan La wallah ana dodon kilon w awalon saed! Leh ma bedkon tefhamo eno sar fi nes dod kil el solta el 7akmi..eza ento b3dkon khwerif w teb3in msh y3ni kil el sha3eb metlkon...thawra 3l saed w aoun w berri,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wala haref enta,non-offensive,None,(Raïdy and Harmanani 2023),LB
Razan rou2i hbbti w bala ta2efeye !! Nezle retweets la jeha wehde .. ta3e etzahare ma3 sha3eb w bala akel hawa ente w 2e3de be maser .. hayda ele shatreen feeh ento ya 3onsoreye,non-offensive,None,(Raïdy and Harmanani 2023),LB
@eddy_hatem wled w beda tel3ab,non-offensive,None,(Raïdy and Harmanani 2023),LB
Rbotile ebnik tante,non-offensive,None,(Raïdy and Harmanani 2023),LB
Chou lezze hol li b rouho 3a mat3am w byotolbo ras batata mrchwe b 30 000 l.l. ?! Eno 3anjed,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Alex_Sfeir 7ej tenheblo mch wahdkon ortet convoiyet l brazil kamen man with all my respect bas chi w menno man ktir habal heke ma ela me3na,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Jyzelloo hejjj ta3emlileh men lhabbeh ebbehhhhh oufffffff chou 3melet leichhhhh ana ???? Ehhh,non-offensive,None,(Raïdy and Harmanani 2023),LB
En emo bas d3ofet sar bedak tehke ma3e ? #basyabahle #basyabahle,non-offensive,None,(Raïdy and Harmanani 2023),LB
Fikon hej trab7o alla jmile eno l meslim 3am bi 3ayid l masi7e w hayda lebnen el helo?,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hala2 Welbeck ktir mastool aw ana bass b7ess hek?,non-offensive,None,(Raïdy and Harmanani 2023),LB
Chou hal tchenchol yalli lebso Ramy Ayyach ? #Arab_Idol #Arab_Idol,non-offensive,None,(Raïdy and Harmanani 2023),LB
@MarwanKamar ktir 3m tzida 3ama law israele ma hek wlw,non-offensive,None,(Raïdy and Harmanani 2023),LB
@kfourywael ktir beyi5 🙈,non-offensive,None,(Raïdy and Harmanani 2023),LB
"Hayda li aret "" I is accept for the aub "" ya3neh smalla 3lek bhannik.",non-offensive,None,(Raïdy and Harmanani 2023),LB
Leh baddek t2aldene bkil shi,non-offensive,None,(Raïdy and Harmanani 2023),LB
W ma tensa Hayde kenit ba3d shaher teskir tor2at w ma keno 3am yenteko ya3mlo shi bil dawle La2 el wa7ad bedo ye23od yetkataf kil el nhar iza beddo yetzahar Oum ba2a 🤣,non-offensive,None,(Raïdy and Harmanani 2023),LB
Law bteskout chway ya ma3alik...,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma taamle halik masdoume baarif naweyeke kif,non-offensive,None,(Raïdy and Harmanani 2023),LB
ktir in hotelo raso b his pants,offensive,Bullying,(Raïdy and Harmanani 2023),LB
@SarahKaddoura @EbrahamHijazi no bas rotana ktir zeft bi handaset el sout,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Sarahdimasii bernemej ktir tefih,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Roudyannan Wien il mishkleh anno il manager akhra min Wael byil3ab Thai 😂😂 fa hayda bado Wael,non-offensive,None,(Raïdy and Harmanani 2023),LB
Shou sar ma3o hayda? Ragheb skot plz,non-offensive,None,(Raïdy and Harmanani 2023),LB
@eddy_hatem @Charbelonsky @joekazan khalas kholset l nekte eddy,non-offensive,None,(Raïdy and Harmanani 2023),LB
@BassemBoustany chou baza2et,non-offensive,None,(Raïdy and Harmanani 2023),LB
Michel moussaaa chou smik w sa2il w bi oulo 3anno bakhil,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Killer Karaoke is entertaining bs ya rit lw Ahmad Fishawi birawe2a shwai cz 7a yto2o 3ru2o w ktir beye5 btw! !! W Cynthia ma 3arfi min jeba!,offensive,Bullying,(Raïdy and Harmanani 2023),LB
@NadineJaber chou bech3aaaaaaaaa bassssss ktirrrrrr bas chakla merte7a w jawza merte7 la hal2adeh fadeh rasa,offensive,Bullying,(Raïdy and Harmanani 2023),LB
@FirasSuleiman eh hayda akid mareed w 3indo 3e2det na2es ...hehehe,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Khalasna ba2aa akel!!!! Ma khalasss!!! Wa22fooo!!!! Choufo 7alkoun addeh sertooo!!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
@hassanNoureldin eh l mafrud hek bas ktir bekraho 5ayye ma 3ando ra2be!,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Ktir hek!! Cheddeleh 7alak Bro,non-offensive,None,(Raïdy and Harmanani 2023),LB
La ylahho l mtzahrin mn eno yfuto aal majles walla3o noss beirut How low,non-offensive,None,(Raïdy and Harmanani 2023),LB
w enta kaleb mtlak mtl klshi bytba3 la 7ezeb,non-offensive,None,(Raïdy and Harmanani 2023),LB
Akid allah yekhedna Ento allah ma bye2bal fikoun 🤣 3ebbedin neis w asnam,non-offensive,None,(Raïdy and Harmanani 2023),LB
gebran bassil kif elak een ma testa2il 🗣,non-offensive,None,(Raïdy and Harmanani 2023),LB
Fo2 ma 3ayche b wejjen ma 3endik wala wejj helo,offensive,Bullying,(Raïdy and Harmanani 2023),LB
edmond habibe chou badak ana rah de22ak atle,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma bte2dar temna3 el 3alam tchouf ha2i2tak wala tchouf kezbak wala tchouf adaych enta tefih w sefil w ghabe ya 3ayb el choum 3layk wahad kezzeb. W enta betheb tlawfik w aslan enta manak fehmen chou 3am tehke. Bi ra2ye ma tbayin edem el 3alam la ano lah ybaz2o 3layk.,offensive,Bullying,(Raïdy and Harmanani 2023),LB
@funzip mastoul,non-offensive,None,(Raïdy and Harmanani 2023),LB
@samirsleem chou khasss ba3rif chou ken azdak bas azde en ana anw msa2af aktat menak so..,non-offensive,None,(Raïdy and Harmanani 2023),LB
@JanaItani_ amen bas heye ktir lezem maykhalowa tetla3 3al tv wlo,non-offensive,None,(Raïdy and Harmanani 2023),LB
@jeanchedid19 chou hal 8abe ya zalame,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Chou hayda chou mret hal wazir !,non-offensive,None,(Raïdy and Harmanani 2023),LB
@NoourNk @joellemaroun law sa7afeh ana b2elik bas manneh sa7afeh so ma ha tnefesneh la ghar la2imeh hiyeh benet la2imeh chou ba3mel,non-offensive,None,(Raïdy and Harmanani 2023),LB
"Hawde yale byektbo ""#selfie"" bas ynazlo soura elon on social media ka2an l3alam ma rah ta3ref esa hayde selfie aw hada msawaron yeha.. #selfie",non-offensive,None,(Raïdy and Harmanani 2023),LB
Dude 3am bet bi3 chenat safar mish bet chill,non-offensive,None,(Raïdy and Harmanani 2023),LB
@biwiaz @marc5vano chou baghel 😂,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Ktir besh3innnn,non-offensive,None,(Raïdy and Harmanani 2023),LB
“@Seanaoun: Rice and chicken for lunch” inta shab el english msh helo t2oul riz 3a djej,non-offensive,None,(Raïdy and Harmanani 2023),LB
l gym akellak 3a2lak ya walad,non-offensive,None,(Raïdy and Harmanani 2023),LB
chou wade3 l ghanam be jbeil?????,non-offensive,None,(Raïdy and Harmanani 2023),LB
Chou bi 7eso jame3it li bi sawroule anninet bira aw arguile story?,non-offensive,None,(Raïdy and Harmanani 2023),LB
@missua_ ktir eabele a3ref 3a chu byetkhena2o...la222 hayde skarbinteee,non-offensive,None,(Raïdy and Harmanani 2023),LB
"Ya3ne law Mario Basil ma b oul hayde "" layleeee jnouuunnnnn"" chou b koun aryah",non-offensive,None,(Raïdy and Harmanani 2023),LB
@NourhaneChehab hayda 3melle block men chi senten Wa7ad ahbal w 3a2lo z8ir,non-offensive,None,(Raïdy and Harmanani 2023),LB
Fik t2aled adel karam w hayda hakeh eno l3adaeh 😒😒😒😏😏,non-offensive,None,(Raïdy and Harmanani 2023),LB
Joe maalouf be2etlak,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Please maba2 hada y2ul 7u2u2 l mar2a #MissLebanon #MissLebanon,non-offensive,None,(Raïdy and Harmanani 2023),LB
La2 ktir ma btnhamal enta,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Elinesaade ajdab soura sheyefa be hayete kella.,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma fik totlob mena tetjawazak bala ma tedfa3 kelewtak 3ala billboard ?,non-offensive,None,(Raïdy and Harmanani 2023),LB
There's a show called eh bass bass...eh bass ba2a !,non-offensive,None,(Raïdy and Harmanani 2023),LB
Chou byestafizzoune yalle byeketbo Mark my words w screenshot this w heik,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ghaba l aouniyeh la7 yousal la matra7 eza alouliun badna soura chamsiyeh birou7o 3al beit bisawro lchamsiyeh w bijebouloun lsoura,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bekhsous hayda li betnaymo bel siyara w betvhare7to aslannn kif elo 3en yehkeh live hahahaha w malek mnen bijiboun enno hol echya chakhsiyeh,non-offensive,None,(Raïdy and Harmanani 2023),LB
Enta ktir beyekh @HusseinBallout1 .,offensive,Bullying,(Raïdy and Harmanani 2023),LB
Hayda eli b3ed el exam bi2ul mzafat w b3den bijeblak 89 bado 7are2 !,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ndabe,non-offensive,None,(Raïdy and Harmanani 2023),LB
@GirlFahes lesh sheyle l acc. :)) Ente 3arfe eno hayda yasserrr -_-,non-offensive,None,(Raïdy and Harmanani 2023),LB
Haram cette dame ekleta bel 👞 bala ma te7keh.. 🐑 wara za3ima.,non-offensive,None,(Raïdy and Harmanani 2023),LB
Plus mamnou3 tershi7 kel yali Elon bl 7ekem MN Abel,non-offensive,None,(Raïdy and Harmanani 2023),LB
@CarelSaliba bt2oule in beirut mch at beirut,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hye hekyetne w a3adet tehke shi nos se3\ w baaden 2al bada tla3bne eza ana alone mshit m3a 😂😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
You're biased ma bshil 😂😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Antoine fout nem,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bdi menaaaa la hayda ali feres :p,non-offensive,None,(Raïdy and Harmanani 2023),LB
@GhidaThiniFawaz mwal3eta ween ma ken Twitter insta w Yalla 😂👌,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Marwan_BFD la2 ma32ol 3melto hashtag 3n zalami lol !,non-offensive,None,(Raïdy and Harmanani 2023),LB
Am et5yal@yser fe hafle y7to feyaa najwa w elissa hhhhhhhhh W ylt2oo fanset elissa be fanset najwa w 5edo aa shad sha3er hhhhhhhhh,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ne7na ktir metseleyin balekeee w huh :p @NatashaSassine,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hayda esmooo akl kharaaaaaa rouh tchakaaaaa 3a li kn 3am yrechon maayyyyy,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wala yhemmak,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Vince_Gebran fi ahla :p,non-offensive,None,(Raïdy and Harmanani 2023),LB
Sorry ma fhemet,non-offensive,None,(Raïdy and Harmanani 2023),LB
3a salemeeee♥️🙏,non-offensive,None,(Raïdy and Harmanani 2023),LB
@chefrinz inta el nice ya helo,non-offensive,None,(Raïdy and Harmanani 2023),LB
Albe kello wroud ldar♥️☹ Love you add ldene kellaaa,non-offensive,None,(Raïdy and Harmanani 2023),LB
@elissakh. Tigi nesma mnn beirut 3ala 5adi tfoot tew7ashni 3younak,non-offensive,None,(Raïdy and Harmanani 2023),LB
@stephaniesalem ktr helo look tab3ulk :)&lt;3,non-offensive,None,(Raïdy and Harmanani 2023),LB
@NancyAjram waw ktr helo l trailer habet cant wait @Saidelmarouk nchalla ma tawlo la t3rdu,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yiiiiiii Chou mahdoume god bless her,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ktir mahdoume,non-offensive,None,(Raïdy and Harmanani 2023),LB
@CarlaHad jamelik couci Chu hl helo heyda :),non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@lynnmouawad maale law saro 50 bet dall helo,non-offensive,None,(Raïdy and Harmanani 2023),LB
@serieslb ktr helo :),non-offensive,None,(Raïdy and Harmanani 2023),LB
@RimaNjeimShow true ya Rima ahla sabah Mabrouk nchalla bedalik heyk 3enfouwen lmar2a li bedal d3ife binazar ktar kalemik lsade2 m3alam ktir,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ya Rab 🙏🏻🙏🏻🙏🏻,non-offensive,None,(Raïdy and Harmanani 2023),LB
Salemtak bro!,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yes3edleh massekeh💐💐💐,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@najwakaram festanikkk kterr helo l2a7marrr wawwwwwww,non-offensive,None,(Raïdy and Harmanani 2023),LB
@SharonAbiChedid @RitaAbiNader @LouisRouba @mariatauk TERMOS MABROUK YA HELO !!!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
ade helo el ensen ya3te min doun ma yontor mou2ebil..hayde el emarwa3 wasef lal 3ata2.w @RimaNJEIM em hanoune w alb kbir w 7adin el kil. 😘,non-offensive,None,(Raïdy and Harmanani 2023),LB
@VaniaAoun bonjourrrrr vaniaaaaaa chou akhbarik,non-offensive,None,(Raïdy and Harmanani 2023),LB
@HasanOsseili merci ktir😁😘,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@Tchuuup awww thanks,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@Jessica_Obeid Chou Hal soura ya amoura 😁,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
Tb enta ktir helo,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@mastr_sba3e thank u ya helo,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
Khay mballach nharna helo☺️ bonjour,non-offensive,None,(Raïdy and Harmanani 2023),LB
@actortaim mustahil addeh kenet helo l yom,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Tala_Nassif hahaha hlefe laha2te . Hélo .,non-offensive,None,(Raïdy and Harmanani 2023),LB
@SylvanaBahmad @JeanDaccache ehh wallla ya hbibi hehe lym nhar helo :p,non-offensive,None,(Raïdy and Harmanani 2023),LB
@AbyadAboud Ktir helo bel ousbou3 bas mberih ken sheta ktir... Ahla w sahla betnawwir,non-offensive,None,(Raïdy and Harmanani 2023),LB
jamelik ya nutella 😍🍫,non-offensive,None,(Raïdy and Harmanani 2023),LB
Merci to2obroune,non-offensive,None,(Raïdy and Harmanani 2023),LB
@KTlayji @HelenFares love youuuuu aktrr b ktir❤,non-offensive,None,(Raïdy and Harmanani 2023),LB
@MaryNanuss @NancyAjram heyde l soura bt3a2id ktr bheba,non-offensive,None,(Raïdy and Harmanani 2023),LB
@raghebalama hahaha helo habeyt :),non-offensive,None,(Raïdy and Harmanani 2023),LB
"“@jado_saleh: ""@fawzimehio: @jado_saleh akhhhhh😍😍😍 lakk chou haydaaa 🙈 rabbe yi7miyaa walla 🙈""w y7mik 🙏🙏” toi Aussii 😳😘😘",non-offensive,None,(Raïdy and Harmanani 2023),LB
@elissakh @Ranyandco waw😍❤️love u princess,non-offensive,None,(Raïdy and Harmanani 2023),LB
@eddy_hatem chou ya king,non-offensive,None,(Raïdy and Harmanani 2023),LB
@MoeSlim95 @rayanammar07 @RayanneHarake waw shabeb waw. Niyyelna nehna 3a hek ref2a 😊 3anjad,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
Again.. @nadinennjeim ente ktir 7elwe tayyeb 😍💝,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@MarianneMerhi @TheresaSahyoun hahahahaha salmile ktir 3alayon tomorrow or wednesday!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
@FawazMay tam akel lras benaja7 :$bade salmtek ya amar :*,non-offensive,None,(Raïdy and Harmanani 2023),LB
Waw ya melhem shu helwe 8neyet ali .alah alah ya melhem shu bheba mn sawtak,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Ritahadsheety thanks anws haha I love Tawa kamen ktir,non-offensive,None,(Raïdy and Harmanani 2023),LB
“@RaniaandSylvio: @RaniaRaniaIssa @atme_antonella hiiiiiii rania ana akide ekhda menik kel chi 7ob w 7eniye ana b7ebbik ktir rania ktiir”thx,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@najwakaram @NeshanTV ana aslan b7ebou la neshan la2an bi7ebbik web7eb kil chakhes bi7ebbik yeyyy chou bhebik,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ahmad Helmi ktir awe,non-offensive,None,(Raïdy and Harmanani 2023),LB
Oh My God! @Rina_Chibany mch tabi3iye chou 7elwe! Lk chou heidaaaaa!wala benet btestehal tkoun @MissLebanonLBCI 8ayrik!! Adore u beautiful,non-offensive,None,(Raïdy and Harmanani 2023),LB
@MohammadOue haha wowwww mbayneh ktir 7elwe haifa !!!!!!,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@najwakaram najwa!! ktir 7elo lclip w sawtik lli m7alla l8enniye..really best singer w ente assalte lfan l3arabe :* chapeau bas,non-offensive,None,(Raïdy and Harmanani 2023),LB
@WissamSarkis1 thxx :p w noo mana sa3be ktir 7elwe!!,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@deliciadagher hahhahahaha lk ehhh 5alleleer 2alboooo chou mahdoummm &lt;333,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
7elo kif ma ken 😘,non-offensive,None,(Raïdy and Harmanani 2023),LB
Helwe mennakkk 😉,non-offensive,None,(Raïdy and Harmanani 2023),LB
ha tshoufo la ibn el ra2iiisss😍😍😍 @xTalaJx I've been trying to work with their party but I'm having a hard time connecting to them b Beirut ask him for me would you ❤️,non-offensive,None,(Raïdy and Harmanani 2023),LB
@3ajaremVoting @NancyAjram @loloalghazzawi @AmanyLamara @meme_ajram @3ajarem @3ajaremKingdom bet322eeed akeed w thx la a7la amany,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@najwakaram #thanksnajwakaram 3elamtina ktiir echya bi azdik w bala azdik stafadna ktir w ll 7a2i2a ra7 na3mol lmosta7il ta nredelk lejmil ! #thanksnajwakaram,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
“@ZahraaRahal: @NasserHouda deserves the hugest mabroukkk !!! #elections #aub” hyte thank youuuuu Allah yberk fike ^^ #elections #aub,non-offensive,None,(Raïdy and Harmanani 2023),LB
@GeorgesGz thx ktir lano radit 3alia :),non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
Ya @_Touit_ hayda ente ? Ana 2oul wein mekhfiye. Happy to see you here again :),non-offensive,None,(Raïdy and Harmanani 2023),LB
@najwakaram yala tafasil clip kter helo? Entashero,non-offensive,None,(Raïdy and Harmanani 2023),LB
A7la masa la a7la marwan😘,non-offensive,None,(Raïdy and Harmanani 2023),LB
@HaririSaad nawarit beirut,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Ghaith6565 thank u ya helo,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@ahmadmadi12 ♡ ♡lak alllah allah shu hal hake el helo,non-offensive,None,(Raïdy and Harmanani 2023),LB
@SamarSebaaly sa3louke ktir helo w bhebo hek un petit bebe,non-offensive,None,(Raïdy and Harmanani 2023),LB
Sarlo the guy 40 seconds 3am bi sarrikh add ma helo l goal,non-offensive,None,(Raïdy and Harmanani 2023),LB
@ElenaHkayem hahahaha ehh shou helo bas l 2 ba3ed ahla :w,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kazem el saher ahla w ahdam w aklas 3alam #MBCTheVoice #MBCTheVoice,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ya wayle chu helo l goal #france #spain @KarimFKhanafer #france #spain,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ya allah ayshek queen,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bhbak,non-offensive,None,(Raïdy and Harmanani 2023),LB
La2 helo ktiiiiiiiiiiiiiiiir l shab !!!! #ctrop #ctrop,non-offensive,None,(Raïdy and Harmanani 2023),LB
@hiba_khalil1 hahaha tb ma howe ktr helo w hek :p hahaha,non-offensive,None,(Raïdy and Harmanani 2023),LB
Fi kteer wjouh helwe 3a twitter lyommm allah yehmikon,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wel3aani with the #Alama family 🔥😍 #ElliBaana @raghebalama @jihanalame @khaledralama louaialama @Beirut Lebanon https://www.instagram.com/p/BqXCFeWHsRV/?utm_source=ig_twitter_share&amp;igshid=n100s7gsfqns #Alama #ElliBaana,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Marwakkari @tmclebanon merci Madame!! Miss u ktir!! :),non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@hayda7akeh @fakihn  Chapeau bas .. Thumbs up :) ktir awiyeh hal 7al2a ;),non-offensive,None,(Raïdy and Harmanani 2023),LB
I'm loving @YesserTayyara ktir lyom idk whyy,non-offensive,None,(Raïdy and Harmanani 2023),LB
@StephanyFeghaly ana ktir bheb el promo taba3na :p,non-offensive,None,(Raïdy and Harmanani 2023),LB
Helo chaklak!!!!!!! 😌,non-offensive,None,(Raïdy and Harmanani 2023),LB
@Mostaphaki @lollanasser2 @ellananoss @rama_ajram @tayemooriya Salmmtek Lama,non-offensive,None,(Raïdy and Harmanani 2023),LB
@NancyAjram #MBCTheVoice nancyyyyyyyy bet3a2diiiiiiii #MBCTheVoice,non-offensive,None,(Raïdy and Harmanani 2023),LB
Saba7 l5er wlsalem beirut,non-offensive,None,(Raïdy and Harmanani 2023),LB
Habibi ana ykhalilik 3ayltek w yen3ad 3layki w 3layon,non-offensive,None,(Raïdy and Harmanani 2023),LB
i loveyou hbibt albi w ruhi anti ❤️ @kawtharhadaya,non-offensive,None,(Raïdy and Harmanani 2023),LB
@abdallah_7ala bonjour ya 3omri. Chu helo kel yom ou3a w leke ahla kalem men 7ala ma poupee,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@mhamadallouch @Paulastih @Zeytoona 😘😘😘 aloushii 3yunak el helwen beshufu kel she helo 😉,non-offensive,None,(Raïdy and Harmanani 2023),LB
Merci 😍 la nchuf bass chou 7a yseer hall kam yom 😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
@MishGhareeb @WaelMansour0 ktr helo ma ma32ul sawto kn r23,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hayda jamel lebnen ajmal nesaa elard,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
Dakhlik ente chou mahdoume😍,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
Bheb ali ktir bye,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma 3m bet5ataaa ktir awiyee,non-offensive,None,(Raïdy and Harmanani 2023),LB
@maximkhalil1 happy birthday ya ajmal moumassel maxim khalil...kelak ehssess w temssilak bi2asser fina ...w jamelak w kel chi fik helo,non-offensive,None,(Raïdy and Harmanani 2023),LB
@michaelabizeid hahahahahha hew ktir helo.,non-offensive,None,(Raïdy and Harmanani 2023),LB
Shu b7bk ya beirut 😍❤️🌲,non-offensive,Courtesy words,(Raïdy and Harmanani 2023),LB
@Maromoawad abalneh li ken chaklo helo bel selfie,non-offensive,None,(Raïdy and Harmanani 2023),LB
@SaraBaydoun1 ktir 7elo,non-offensive,None,(Raïdy and Harmanani 2023),LB
@najwakaram ana b7ebik.ktir ya amar,non-offensive,None,(Raïdy and Harmanani 2023),LB
BTESTEHAL! KTIR HELWE YA OMME.,non-offensive,None,(Raïdy and Harmanani 2023),LB
@marwasezin: @najwakaram ma akhadet chi lyom kmn cho hl 7azz hayda  ..... B7ebiikk ya 7elwe w allah ywaf2ek w ye7mike wayn ma baramte ,non-offensive,None,(Raïdy and Harmanani 2023),LB
@najwakaram Natrinek 3a nar ya malike 🌹 Ktir met3atchine nesma3 gheniye menik 💖 Bheeeeeeeeebiiiiiiiiiiiikkkkkkkk Ya 3omreeeeeeeeeeeeee,non-offensive,None,(Raïdy and Harmanani 2023),LB
